t,arm,reward,tuned_p,max_steps,framework,tools
0,basic_agentic,0.900,0.50,5,LLM-Agent-Base,python_repl|search
1,reflective_agentic,0.900,0.59,5,CustomGraphAgent,python_repl|search|retry|reflect
2,llm_agentic,0.900,0.65,5,LiteAgent,python_repl|search|retry
3,graph_agentic,0.900,0.70,3,GraphPlanner,router|python_repl|reflect|retry|search
4,basic_agentic,0.900,0.61,3,LLM-Agent-Base,python_repl|search
5,reflective_agentic,0.900,0.54,5,CustomGraphAgent,python_repl|search|retry|reflect
6,llm_agentic,0.900,0.59,3,LiteAgent,python_repl|search|retry
7,graph_agentic,0.900,0.54,5,GraphPlanner,router|python_repl|reflect|retry|search
8,basic_agentic,0.900,0.57,3,LLM-Agent-Base,python_repl|search
9,reflective_agentic,0.900,0.53,3,CustomGraphAgent,python_repl|search|retry|reflect
10,llm_agentic,0.900,0.49,5,LiteAgent,python_repl|search|retry
11,graph_agentic,0.900,0.53,3,GraphPlanner,router|python_repl|reflect|retry|search
12,basic_agentic,0.900,0.50,3,LLM-Agent-Base,python_repl|search
13,reflective_agentic,0.900,0.47,3,CustomGraphAgent,python_repl|search|retry|reflect
14,llm_agentic,0.900,0.45,5,LiteAgent,python_repl|search|retry
15,graph_agentic,0.900,0.47,3,GraphPlanner,router|python_repl|reflect|retry|search
16,basic_agentic,0.900,0.45,3,LLM-Agent-Base,python_repl|search
17,reflective_agentic,0.900,0.44,3,CustomGraphAgent,python_repl|search|retry|reflect
18,llm_agentic,0.900,0.43,5,LiteAgent,python_repl|search|retry
19,graph_agentic,0.900,0.44,3,GraphPlanner,router|python_repl|reflect|retry|search
20,basic_agentic,0.900,0.43,3,LLM-Agent-Base,python_repl|search
21,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
22,llm_agentic,0.900,0.41,3,LiteAgent,python_repl|search|retry
23,graph_agentic,0.900,0.41,5,GraphPlanner,router|python_repl|reflect|retry|search
24,basic_agentic,0.900,0.42,5,LLM-Agent-Base,python_repl|search
25,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
26,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
27,graph_agentic,0.900,0.43,3,GraphPlanner,router|python_repl|reflect|retry|search
28,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
29,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
30,llm_agentic,0.900,0.41,5,LiteAgent,python_repl|search|retry
31,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
32,basic_agentic,0.900,0.42,5,LLM-Agent-Base,python_repl|search
33,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
34,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
35,graph_agentic,0.900,0.42,5,GraphPlanner,router|python_repl|reflect|retry|search
36,basic_agentic,0.900,0.42,5,LLM-Agent-Base,python_repl|search
37,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
38,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
39,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
40,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
41,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
42,llm_agentic,0.900,0.42,3,LiteAgent,python_repl|search|retry
43,graph_agentic,0.900,0.42,5,GraphPlanner,router|python_repl|reflect|retry|search
44,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
45,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
46,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
47,graph_agentic,0.900,0.42,5,GraphPlanner,router|python_repl|reflect|retry|search
48,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
49,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
50,llm_agentic,0.900,0.42,3,LiteAgent,python_repl|search|retry
51,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
52,basic_agentic,0.900,0.42,5,LLM-Agent-Base,python_repl|search
53,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
54,llm_agentic,0.900,0.42,3,LiteAgent,python_repl|search|retry
55,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
56,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
57,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
58,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
59,graph_agentic,0.900,0.42,5,GraphPlanner,router|python_repl|reflect|retry|search
60,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
61,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
62,llm_agentic,0.900,0.42,3,LiteAgent,python_repl|search|retry
63,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
64,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
65,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
66,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
67,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
68,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
69,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
70,llm_agentic,0.900,0.42,3,LiteAgent,python_repl|search|retry
71,graph_agentic,0.900,0.42,5,GraphPlanner,router|python_repl|reflect|retry|search
72,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
73,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
74,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
75,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
76,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
77,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
78,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
79,graph_agentic,0.900,0.42,5,GraphPlanner,router|python_repl|reflect|retry|search
80,basic_agentic,0.900,0.42,5,LLM-Agent-Base,python_repl|search
81,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
82,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
83,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
84,basic_agentic,0.900,0.42,5,LLM-Agent-Base,python_repl|search
85,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
86,llm_agentic,0.900,0.42,3,LiteAgent,python_repl|search|retry
87,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
88,basic_agentic,0.900,0.42,5,LLM-Agent-Base,python_repl|search
89,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
90,llm_agentic,0.900,0.42,3,LiteAgent,python_repl|search|retry
91,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
92,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
93,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
94,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
95,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
96,basic_agentic,0.900,0.42,5,LLM-Agent-Base,python_repl|search
97,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
98,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
99,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
100,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
